HAPPY,leisure,relations,educationeconomy,economy,environment,safety,health
a,0.6331,0.7425,0.6839,1,0.4637,0.747,0.922
a,0.6691,0.4608,0.5013,0.9806,0.2865,0.932,0.6742
a,0.2817,0.4317,0.2679,0.6915,0.503,0.5537,0.5898
c,0.3257,0.4182,0.2464,0.6533,0.4196,0.5347,0.4794
b,0.3313,0.3519,0.4879,0.4445,0.4992,0.6072,0.6373
b,0.2329,0.1339,0.5119,0.477,0.3075,0.648,0.6024
e,0.1831,0.2511,0.1537,0.248,0.5523,0.5424,0.5225
d,0.267,0.3539,0.4649,0.2732,0.4991,0.463,0.4177
e,0.2337,0.0893,0.1063,0.1313,0.6812,0.6119,0.3987
d,0.3076,0.5292,0.4725,0.2104,0.5545,0.4675,0.4683
c,0.1548,0.4966,0.8054,0.1496,0.647,0.3241,0.4783
e,0.2498,0.5292,0.1314,0.1538,0.4726,0.4769,0.3925
a,0.2175,0.2809,0.3663,0.4415,0.4215,0.6215,0.8437
a,0.2337,0.4891,0.5487,0.7569,0.3967,0.5025,0.5414
a,0.2737,0.6415,0.5632,0.3355,0.4848,0.5365,0.6074
e,0.1998,0.257,0.2969,0.3788,0.5817,0.4676,0.3309
b,0.3594,0.4795,0.3886,0.6418,0.4408,0.5034,0.5995
d,0.2391,0.3858,0.2392,0.8277,0.4086,0.3618,0.4905
a,0.371,0.4053,0.2797,0.9332,0.3213,0.674,0.7313
d,0.2002,0.224,0.3623,0.3594,0.4874,0.5241,0.336
d,0.2037,0.1551,0.1501,0.2858,0.425,0.6448,0.5065
a,0.2724,0.4501,0.503,0.921,0.5075,0.4234,0.6763
a,0.3043,0.3016,0.5955,0.9933,0.416,0.6969,0.6171
a,0.192,0.4959,0.4632,0.6091,0.5124,0.456,0.6596
b,0.2317,0.4123,0.3951,0.4233,0.4779,0.4855,0.715
a,0.4288,0.2166,0.3472,0.7565,0.1966,0.6374,0.8268
b,0.1076,0.1042,0.2663,0.2933,0.2964,0.7178,0.8836
c,0.1358,0.1553,0.3953,0.6842,0.4844,0.6587,0.6041
e,0.1243,0.0094,0.4087,0.2217,0.5508,0.4401,0.4181
c,0.1193,0.127,0.5995,0.4598,0.4563,0.2883,0.5989
a,0.0655,0.4833,0.5999,0.3831,0.4052,0.4551,0.7246
c,0.0871,0.2272,0.619,0.3297,0.5422,0.5062,0.4537
e,,0.4301,0.5832,0.0844,0.5921,0.3248,0.4344
d,0.1267,0.3783,0.5989,0.336,0.6508,0.3942,0.3278
e,0.0909,0.3788,0.7165,0.2831,0.1976,0.1436,0.361
c,0.0904,0.4859,0.7324,0.3769,0.6128,0.1765,0.5716
e,0.2904,0.522,0.2152,0.9899,0.1776,0.2717,0.07
c,0.0238,0.4122,0.5233,0.4785,0.443,0.43,0.4166
d,0.0404,0.1557,0.4581,0.3607,0.3782,0.4349,0.561
e,0.0517,0.1217,0.5093,0.541,0.3668,0.1576,0.5559
c,0.5211,0.5078,0.5007,0.4298,0.8287,0.4411,0.3824
a,0.598,0.4463,0.6247,0.781,0.2231,0.7281,1
e,0.0965,0.2631,0.3777,0.2675,0.7253,,0.3681
e,0.1395,,0.5229,0.3363,,0.1849,0.2596
c,0.0817,0.2008,0.4699,0.2459,0.3868,0.4562,0.8312
e,0.2337,0.4278,0.7195,0.4411,0.5778,0.2096,0.2541
b,0.2263,0.6297,0.707,0.2827,0.7551,0.2574,0.4321
d,0.2009,0.3674,0.766,0.3487,0.4726,0.3668,0.3122
c,0.3028,0.5173,0.499,0.4486,0.7268,0.306,0.4013
b,0.2992,0.3831,0.3333,0.8391,0.4888,0.2809,0.5908
b,0.3058,0.8203,0.7253,0.582,0.3129,0.7416,0.4211
d,0.1238,0.5808,0.7789,0.4015,0.493,0.3015,0.3239
e,0.0862,0.4516,0.5361,0.4603,0.4239,0.3163,0.3139
e,0.0541,0.4549,0.5,0.2607,0.5649,0.3734,0.258
d,0.1692,0.6808,0.5639,0.2846,0.6082,0.3322,0.4128
e,0.1622,0.6203,0.4347,0.4769,0.5231,0.3136,0.2295
e,0.0991,0.1831,0.3674,0.3265,0.4066,0.3312,0.3222
d,0.6199,0.5983,0.1909,0.1021,0.8149,0.4645,0.3468
b,0.5264,0.276,0.5987,0.3745,0.5139,0.755,0.1772
a,0.6748,0.4808,0.6093,0.586,0.5641,0.2974,0.8355
b,0.3163,0.5386,0.7607,0.4646,0.48,0.3045,0.7003
a,0.4459,0.7109,0.6859,0.1891,0.6024,0.3902,0.6913
b,0.472,0.7926,0.6689,0.2865,0.7149,0.1966,0.5237
c,0.3659,0.6661,0.7236,0.4107,0.676,0.1435,0.4107
d,0.2359,0.466,0.7541,0.2084,0.6414,0.0392,0.615
a,0.3258,0.6778,0.6226,0.3407,0.6457,0.1405,0.8593
a,0.2666,0.2432,1,0.4407,0.6546,0.3141,0.7111
a,0.4697,0.5762,0.968,0.5779,0.7096,0.3601,0.635
d,0.4418,0.5909,0.8592,0.5136,0.2606,0.18,0.4975
c,0.3197,0.6615,0.6832,0.3613,0.5284,0.4789,0.3388
a,0.3988,0.567,0.8894,0.7907,0.0733,0.5006,0.5059
b,0.3528,0.4644,0.7956,0.6519,0.5184,0.4477,0.4507
b,0.4658,0.886,0.7281,0.7063,0.5107,0.4291,0.2201
a,0.555,0.8033,0.7199,0.7027,0.3364,0.529,0.5847
c,0.4478,0.6737,0.587,0.5119,0.6524,0.1578,0.232
b,0.3505,0.6117,0.7801,0.4787,0.4935,0.4344,0.3975
a,0.324,0.5492,0.7748,0.5456,0.6296,0.3541,0.5489
